Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;104
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;147
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;89
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;127
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;95
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;134
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;81
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;114
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;106
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;151
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;96
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;135
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;125
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;176
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;132
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;187
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;127
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;180
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;144
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;203
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;112
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;159
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;135
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;190
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;14870
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13426
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12962
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11704
